Antonym,Name,Rank
AAAI,National Conference of the American Association for Artificial Intelligence,A*
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,A*
ACL,Association of Computational Linguistics,A*
ACMMM,ACM Multimedia,A*
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*
CAV,Computer Aided Verification,A*
CCS,ACM Conference on Computer and Communications Security,A*
CHI,International Conference on Human Factors in Computing Systems,A*
COLT,Annual Conference on Computational Learning Theory,A*
CRYPTO,Advances in Cryptology,A*
CSCL,Computer Supported Collaborative Learning,A*
DCC,Data Compression Conference,A*
DSN,IEEE/IFIP International Conference on Dependable Systems,A*
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,A*
FOCS,IEEE Symposium on Foundations of Computer Science,A*
FOGA,Foundations of Genetic Algorithms,A*
HPCA,International Symposium on High Performance Computer Architecture,A*
I3DG,ACM SIGRAPH Interactive 3D Graphics,A*
ICCV,IEEE International Conference on Computer Vision,A*
ICDE,International Conference on Data Engineering,A*
ICDM,IEEE International Conference on Data Mining,A*
ICFP,International Conference on Functional Programming,A*
ICIS,International Conference on Information Systems,A*
ICML,International Conference on Machine Learning,A*
ICSE,International Conference on Software Engineering,A*
IJCAI,International Joint Conference on Artificial Intelligence,A*
IJCAR,International Joint Conference on Automated Reasoning,A*
ISCA,ACM International Symposium on Computer Architecture,A*
ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*
ISSAC,International Symposium on Symbolic and Algebraic Computation,A*
ISWC,IEEE International Symposium on Wearable Computing,A*
KR,International Conference on the Principles of Knowledge Representation and Reasoning,A*
LICS,IEEE Symposium on Logic in Computer Science,A*
NIPS,Advances in Neural Information Processing Systems,A*
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,A*
OSDI,Usenix Symposium on Operating Systems Design and Implementation,A*
PERCOM,IEEE International Conference on Pervasive Computing and Communications,A*
PERVASIVE,International Conference on Pervasive Computing,A*
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,A*
PODC,ACM Symposium on Principles of Distributed Computing,A*
PODS,ACM SIGMOD SIGACT SIGART Conference on Principles of Database Systems,A*
POPL,ACM SIGACT Symposium on Principles of Programming Languages,A*
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A*
SIGIR,ACM International Conference on Research and Development in Information Retrieval,A*
SIGKDD,ACM International Conference on Knowledge Discovery and Data Mining,A*
SIGMOD,ACM Special Interest Group on Management of Data Conference,A*
SODA,ACM/SIAM Symposium on Discrete Algorithms,A*
SOSP,ACM SIGOPS Symposium on Operating Systems Principles,A*
STOC,ACM Symposium on Theory of Computing,A*
UAI,Conference in Uncertainty in Artificial Intelligence,A*
UbiComp,Ubiquitous Computing,A*
VLDB,International Conference on Very Large Databases,A*
WWW,International World Wide Web Conference,A*
ISWC,International Semantic Web Conference,A*
DSN,Workshop on Assurance Cases for Security,A*
ICIS,IEEE/ACIS International Conference on Computer and Information Science,A*
ICIS,"International Conference on Interaction Sciences: Information Technology, Culture and Human",A*
ACIS,Australasian Conference on Information Systems,A
ACSAC,Annual Computer Security Applications Conference,A
AIIM,Artificial Intelligence in Medicine,A
AIME,Artificial Intelligence in Medicine in Europe,A
AiML,Advances in Modal Logic,A
ALENEX,Workshop on Algorithm Engineering and Experiments,A
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,A
ALT,Algorithmic Learning Theory,A
AMCIS,Americas Conference on Information Systems,A
AOSD,Aspect Oriented Software Development,A
APPROX,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems,A
ASAP,International Conference on Apps for Specific Array Processors,A
ASE,Automated Software Engineering Conference,A
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A
ATVA,International Symposium on Automated Technology for Verification and Analysis,A
BPM,International Conference in Business Process Management,A
CADE,International Conference on Automated Deduction,A
CaiSE,International Conference on Advanced Information Systems Engineering,A
CANIM,Computer Animation,A
CBSE,International Symposium Component Based Software Engineering,A
CC,International Conference on Compiler Construction,A
CCC,IEEE Symposium on Computational Complexity,A
CCGRID,"IEEE International Symposium on Cluster, Cloud and Grid Computing",A
CGO,International Symposium on Code Generation and Optimization,A
CIDR,Conference on Innovative Data Systems Research,A
CIKM,ACM International Conference on Information and Knowledge Management,A
CLUSTER,IEEE International Conference on Cluster Computing,A
COCOON,International Conference on Computing and Combinatorics,A
CogSci,Annual Conference of the Cognitive Science Society,A
COLING,International Conference on Computational Linguistics,A
CONCUR,International Conference on Concurrency Theory,A
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A
CoNLL,Conference on Natural Language Learning,A
CoopIS,International Conference on Cooperative Information Systems,A
Coordination,International Conference on Coordination Models and Languages,A
CP,International Conference on Principles and Practice of Constraint Programming,A
CSB,IEEE Computational Systems Bioinformatics Conference,A
CSCW,ACM Conference on Computer Supported Cooperative Work,A
CSF,IEEE Computer Security Foundations Symposium (was CSFW),A
CSSAC,Cognitive Science Society Annual Conference,A
CVPR,IEEE Conference on Computer Vision and Pabern Recognition,A
DASFAA,Database Systems for Advanced Applications,A
DESRIST,International Conference on Design Science Research in Information Systems and Technology,A
DISC,International Symposium on Distributed Computing (was WDAG),A
e Science,IEEE International Conference on e Science and Grid Computing,A
EACL,European Association of Computational Linguistics,A
EASE,International Conference on Evaluation and Assessment in Software Engineering,A
ECAI,European Conference on Artificial Intelligence,A
ECCV,European Conference on Computer Vision,A
ECIS,European Conference on Information Systems,A
ECML,European Conference on Machine Learning,A
ECOOP,European Conference on Object Oriented Programming,A
EDBT,Extending Database Technology,A
EMNLP,Empirical Methods in Natural Language Processing,A
ER,International Conference on Conceptual Modelling,A
ESA,European Symposium on Algorithms,A
ESEM,International Symposium on Empirical Software Engineering and Measurement,A
ESOP,European Symposium on Programming,A
ESORICS,European Symposium On Research In Computer Security,A
ESQARU,International Joint Conference on Qualitative and Quantitative Practical Reasoning,A
Euro Par,International Conference on Parallel Processing,A
H,European Graphics Conference EUROGRAP,A
EuroSpeech,European Conference on Speech Communication and Technology (now Interspeech),A
EuroSys,Eurosys Conference,A
FAST,Conference on File and Storage Technologies,A
FC,Financial Cryptography and Data Security Conference,A
FCT,International Symposium on Fundamentals of Computer Theory,A
FLOPS,International Symposium on Functional and Logic Programming,A
FME,Formal Methods Europe,A
FODO,International Conference on Foundation on Data Organization,A
FOIS,International Conference on Formal Ontology in Information Systems,A
FORTE,"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",A
FSE,ACM SIGSOFT International Symposium on the Foundations of Software Engineering,A
FUZZ IEEE,IEEE International Conference on Fuzzy Systems,A
GD,Graph Drawing,A
GECCO,Genetic and Evolutionary Computations,A
GRAPP,International Conference on Computer Graphics Theory and Application,A
GRID,IEEE/ACM International Conference on Grid Computing,A
HCI,British Computer Society Conference on Human Computer Interaction,A
HICSS,Hawaii International Conference on System Sciences,A
HiPC,International Conference on High Performance Computing,A
HotOS,USENIX Workshop on Hot Topics in Operating Systems,A
HPDC,ACM International Symposium on High Performance Distributed Computing,A
Hypertext,ACM Conference on Hypertext and Hypermedia,A
ICALP,International Colloquium on Automata Languages and Programming,A
ICCAD,IEEE/ACM International Conference on Computer Aided Design,A
ICCS,International Conference on Computational Science,A
ICDCS,International Conference on Distributed Computing Systems,A
ICDT,International Conference on Database Theory,A
ICLP,International Conference on Logic Programming,A
ICONIP,International Conference on Neural Information Processing,A
ICPP,International Conference on Parallel Processing,A
ICS,ACM International Conference on Supercomputing,A
ICSM,IEEE International Conference on Software Maintenance,A
ICSOC,International Conference on Service Oriented Computing,A
ICSP,International Conference on Software Process,A
ICSPC,International Conference on Security in Pervasive Computing,A
ICSR,International Conference on Software Reuse,A
ICTL,International Conference on Temporal Logic,A
ICWS,IEEE International Conference on Web Services,A
IDA,Intelligent Data Analysis,A
Alife,IEEE International Symposium on Artificial Life IEEE,A
CEC,IEEE Congress on Evolutionary Computation IEEE,A
INFOCOM,IEEE Conference on Computer Communications IEEE,A
InfoVis,IEEE Information Visualization Conference IEEE,A
NCA,IEEE International Symposium on Network Computing and Applications IEEE,A
VIS,IEEE Visualization IEEE,A
IJCNN,IEEE International Joint Conference on Neural Networks,A
IMC,Internet Measurement Conference,A
Interact,IFIP TC13 Conference on Human Computer Interaction,A
Interspeech,Annual Conference of the International Speech Communication Association (was Eurospeech),A
IPCO,Conference on Integer Programming and Combinatorial Optimization,A
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A
ISAAC,International Symposium on Algorithms and Computation,A
ISD,International Conference on Information Systems Development,A
ISMB,Intelligent Systems in Molecular Biology,A
ISMM,International Symposium on Memory Management,A
ISSRE,International Symposium on Software Reliability Engineering,A
ISSTA,International Symposium on Software Testing and Analysis,A
ITiCSE,Annual Conference on Innovation and Technology in Computer Science Education,A
ITS,International Conference on Intelligent Tutoring Systems,A
IUI,International Conference on Intelligent User Interfaces,A
JELIA,"Logics in Artificial Intelligence, European Conference",A
K CAP,Knowledge capture,A
LPAR,Logic Programming and Automated Reasoning,A
LPNMR,International Conference on Logic Programming and Non monotonic Reasoning,A
MFCS,International Symposium on Mathematical Foundations of Computer Science,A
MICCAI,Medical Image Computing and Computer Assisted Intervention,A
Middleware,ACM/IFIP/USENIX International Middleware Conference,A
