id,alias,name,clean_author_name
1,"Joaquim Miguel GonÃ§alves Macedo","Joaquim Macedo 0002","Joaquim Macedo"
2,"Ya-Ling Zhang","Yaling Zhang","Yaling Zhang"
3,"Mohamed El Baker Nassar","Mohamed Nassar 0001","Mohamed Nassar"
4,"VÃ­ctor ViÃ±als YÃºfera","VÃ­ctor ViÃ±als","VÃ­ctor ViÃ±als"
5,"TanFeng Sun","Tanfeng Sun","Tanfeng Sun"
6,"Tan-Feng Sun","Tanfeng Sun","Tanfeng Sun"
7,"Alina Voda BesanÃ§on","Alina Voda","Alina Voda"
8,"Alina BesanÃ§on-Voda","Alina Voda","Alina Voda"
9,"Napoleon C. Paxton","Napoleon Paxton","Napoleon Paxton"
10,"Madhav Vinayak Marathe","Madhav V. Marathe","Madhav V. Marathe"
11,"Ana Maria Almeida Nobre Silva","Ana Silva 0003","Ana Silva"
12,"Bosukonda Murali Mohan","B. M. Mohan","B. M. Mohan"
13,"Ryuichi Kondou","Ryuichi Kondoh","Ryuichi Kondoh"
14,"Jeff McIntire","Jeffrey McIntire","Jeffrey McIntire"
15,"Egor R. V. Bondarev","Egor Bondarev","Egor Bondarev"
16,"Parya Momayyez","Parya MomayyezSiahkal","Parya MomayyezSiahkal"
17,"Harry J. Gray","Harry J. Gray Jr.","Harry J. Gray Jr."
18,"JosÃ© Javier Ramasco","JosÃ© J. Ramasco","JosÃ© J. Ramasco"
19,"Xiao Hong","Hong Xiao","Hong Xiao"
20,"Thomas F. Melham","Tom Melham","Tom Melham"
21,"Stephen Kahne","Stephen J. Kahne","Stephen J. Kahne"
22,"Juan Miguel Vilar-Torres","Juan Miguel Vilar","Juan Miguel Vilar"
23,"Chitaranjan Tripathy","Chita Ranjan Tripathy","Chita Ranjan Tripathy"
24,"Chitta Ranjan Tripathy","Chita Ranjan Tripathy","Chita Ranjan Tripathy"
25,"Rizwan Jameel","M. Rizwan Jameel Qureshi","M. Rizwan Jameel Qureshi"
26,"Jalil Boudjadar","Abdeldjalil Boudjadar","Abdeldjalil Boudjadar"
27,"Marcus Rolf VÃ¶lp","Marcus VÃ¶lp","Marcus VÃ¶lp"
28,"David Laurenson","David I. Laurenson","David I. Laurenson"
29,"Dave Laurenson","David I. Laurenson","David I. Laurenson"
30,"Zhong-Zhi Shi","Zhongzhi Shi","Zhongzhi Shi"
31,"DaLong Li","Dalong Li","Dalong Li"
