id,name,first_name,middle_name,last_name,dept,area,count,adjustedcount,year,clean_author_name
1,"A Min Tjoa",A,Min,Tjoa,"TU Wien",icde,1,0.33333,1984,"A Min Tjoa"
2,"A Min Tjoa",A,Min,Tjoa,"TU Wien",icde,1,0.2,1996,"A Min Tjoa"
3,"A. Akbariazirani",A.,,Akbariazirani,IUST,iros,1,0.16667,2017,"A. Akbariazirani"
4,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",aaai,1,0.5,2021,"A. Aldo Faisal"
5,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",chiconf,1,0.25,2021,"A. Aldo Faisal"
6,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",icra,1,0.33333,2016,"A. Aldo Faisal"
7,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",icra,1,0.33333,2019,"A. Aldo Faisal"
8,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",icra,1,0.25,2024,"A. Aldo Faisal"
9,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",iros,1,0.33333,2019,"A. Aldo Faisal"
10,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",iros,1,0.25,2020,"A. Aldo Faisal"
11,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",nips,1,0.14286,2018,"A. Aldo Faisal"
12,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",nips,1,0.33333,2023,"A. Aldo Faisal"
13,"A. Aldo Faisal",A.,Aldo,Faisal,"Imperial College London",ubicomp,1,0.16667,2019,"A. Aldo Faisal"
14,"A. B. M. Alim Al Islam",A.,"B. M. Alim","Al Islam",BUET,chiconf,1,0.33333,2017,"A. B. M. Alim Al Islam"
15,"A. B. M. Alim Al Islam",A.,"B. M. Alim","Al Islam",BUET,ubicomp,1,0.125,2019,"A. B. M. Alim Al Islam"
16,"A. B. M. Alim Al Islam",A.,"B. M. Alim","Al Islam",BUET,ubicomp,1,0.071429,2020,"A. B. M. Alim Al Islam"
17,"A. B. Siddique 0001",A.,"B. Siddique",1,"University of Kentucky",kdd,1,0.33333,2020,"A. B. Siddique"
18,"A. B. Siddique 0001",A.,"B. Siddique",1,"University of Kentucky",sigir,1,0.2,2023,"A. B. Siddique"
19,"A. B. Siddique 0001",A.,"B. Siddique",1,"University of Kentucky",vldb,1,0.33333,2019,"A. B. Siddique"
20,"A. B. Siddique 0001",A.,"B. Siddique",1,"University of Kentucky",www,1,0.33333,2021,"A. B. Siddique"
21,"A. B. Siddique 0001",A.,"B. Siddique",1,"University of Kentucky",www,1,0.33333,2023,"A. B. Siddique"
22,"A. CÃ¼neyd Tantug",A.,"CÃ¼neyd T",Tantug,"Istanbul Technical University",acl,1,0.33333,2007,"A. CÃ¼neyd Tantug"
23,"A. CÃ¼neyd Tantug",A.,"CÃ¼neyd T",Tantug,"Istanbul Technical University",acl,1,0.33333,2019,"A. CÃ¼neyd Tantug"
24,"A. David Marshall",A.,David,Marshall,"Cardiff University",aaai,1,0.33333,2021,"A. David Marshall"
25,"A. David Marshall",A.,David,Marshall,"Cardiff University",cvpr,1,0.33333,2009,"A. David Marshall"
26,"A. David Marshall",A.,David,Marshall,"Cardiff University",cvpr,1,0.33333,2011,"A. David Marshall"
27,"A. David Marshall",A.,David,Marshall,"Cardiff University",eccv,1,0.33333,1998,"A. David Marshall"
28,"A. David Marshall",A.,David,Marshall,"Cardiff University",eurographics,1,0.14286,2011,"A. David Marshall"
29,"A. David Marshall",A.,David,Marshall,"Cardiff University",eurographics,1,0.5,2014,"A. David Marshall"
30,"A. David Marshall",A.,David,Marshall,"Cardiff University",icml,1,0.33333,2019,"A. David Marshall"
31,"A. E. Eiben",A.,E.,Eiben,"VU Amsterdam",ijcai,1,0.5,2007,"A. E. Eiben"
32,"A. ErcÃ¼ment Ã‡iÃ§ek",A.,"ErcÃ¼ment Ã‡",Ã‡iÃ§ek,"Bilkent University",ismb,1,0.33333,2014,"A. ErcÃ¼ment Ã‡iÃ§ek"
33,"A. ErcÃ¼ment Ã‡iÃ§ek",A.,"ErcÃ¼ment Ã‡",Ã‡iÃ§ek,"Bilkent University",pets,1,0.33333,2021,"A. ErcÃ¼ment Ã‡iÃ§ek"
34,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",fse,1,0.16667,2016,"A. Jefferson Offutt"
35,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",icse,1,0.33333,1993,"A. Jefferson Offutt"
36,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",issta,1,0.33333,1993,"A. Jefferson Offutt"
37,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",issta,1,0.5,1996,"A. Jefferson Offutt"
38,"A. Jefferson Offutt",A.,Jefferson,Offutt,"George Mason University",pldi,1,0.5,1987,"A. Jefferson Offutt"
39,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",acl,1,0.2,2012,"A. Prasad Sistla"
40,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.25,1990,"A. Prasad Sistla"
41,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.5,1991,"A. Prasad Sistla"
42,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,2,0.83333,1993,"A. Prasad Sistla"
43,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.5,1994,"A. Prasad Sistla"
44,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.5,1995,"A. Prasad Sistla"
45,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,2,1.5,1997,"A. Prasad Sistla"
46,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.25,1998,"A. Prasad Sistla"
47,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.5,2001,"A. Prasad Sistla"
48,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.33333,2011,"A. Prasad Sistla"
49,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",cav,1,0.25,2018,"A. Prasad Sistla"
50,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",ccs,1,0.25,2023,"A. Prasad Sistla"
51,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",focs,1,0.33333,1983,"A. Prasad Sistla"
52,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",icde,2,0.58333,1997,"A. Prasad Sistla"
53,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",icde,1,0.25,1998,"A. Prasad Sistla"
54,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",lics,2,1,1987,"A. Prasad Sistla"
55,"A. Prasad Sistla",A.,Prasad,Sistla,"University of Illinois at Chicago",lics,1,0.33333,2008,"A. Prasad Sistla"
