id,name,year,clean_author_name
1,"Alan J. Perlis",1966,"Alan J. Perlis"
2,"Maurice V. Wilkes",1967,"Maurice V. Wilkes"
3,"Richard Wesley Hamming",1968,"Richard Wesley Hamming"
4,"Marvin Minsky",1969,"Marvin Minsky"
5,"James Hardy Wilkinson",1970,"James Hardy Wilkinson"
6,"John McCarthy",1971,"John McCarthy"
7,"Edsger W. Dijkstra",1972,"Edsger W. Dijkstra"
8,"Charles W. Bachman",1973,"Charles W. Bachman"
9,"Donald E. Knuth",1974,"Donald E. Knuth"
10,"Allen Newell",1975,"Allen Newell"
11,"Herbert A. Simon",1975,"Herbert A. Simon"
12,"Dana S. Scott",1976,"Dana S. Scott"
13,"Michael O. Rabin",1976,"Michael O. Rabin"
14,"Michael Oser Rabin",1976,"Michael Oser Rabin"
15,"John W. Backus",1977,"John W. Backus"
16,"Robert W. Floyd",1978,"Robert W. Floyd"
17,"Kenneth E. Iverson",1979,"Kenneth E. Iverson"
18,"C. A. R. Hoare",1980,"C. A. R. Hoare"
19,"E. F. Codd",1981,"E. F. Codd"
20,"Stephen A. Cook",1982,"Stephen A. Cook"
21,"Dennis Ritchie",1983,"Dennis Ritchie"
22,"Ken Thompson",1983,"Ken Thompson"
23,"Niklaus Wirth",1984,"Niklaus Wirth"
24,"Richard M. Karp",1985,"Richard M. Karp"
25,"John E. Hopcroft",1986,"John E. Hopcroft"
26,"Robert E. Tarjan",1986,"Robert E. Tarjan"
27,"Robert Endre Tarjan",1986,"Robert Endre Tarjan"
28,"John Cocke",1987,"John Cocke"
29,"Ivan E. Sutherland",1988,"Ivan E. Sutherland"
30,"William Kahan",1989,"William Kahan"
31,"Fernando J. CorbatÃ³",1990,"Fernando J. CorbatÃ³"
32,"Robin Milner",1991,"Robin Milner"
33,"Butler W. Lampson",1992,"Butler W. Lampson"
34,"Juris Hartmanis",1993,"Juris Hartmanis"
35,"Richard Edwin Stearns",1993,"Richard Edwin Stearns"
36,"Edward A. Feigenbaum",1994,"Edward A. Feigenbaum"
37,"Raj Reddy",1994,"Raj Reddy"
38,"Manuel Blum 0001",1995,"Manuel Blum"
39,"Amir Pnueli",1996,"Amir Pnueli"
40,"Douglas C. Engelbart",1997,"Douglas C. Engelbart"
41,"Jim Gray",1998,"Jim Gray"
42,"Frederick P. Brooks Jr.",1999,"Frederick P. Brooks Jr."
43,"Andrew C. Yao",2000,"Andrew C. Yao"
44,"Andrew Chi-Chih Yao",2000,"Andrew Chi-Chih Yao"
45,"Kristen Nygaard",2001,"Kristen Nygaard"
46,"Ole-Johan Dahl",2001,"Ole-Johan Dahl"
47,"Adi Shamir",2002,"Adi Shamir"
48,"Len Adleman",2002,"Len Adleman"
49,"Leonard M. Adleman",2002,"Leonard M. Adleman"
50,"Leonard Max Adleman",2002,"Leonard Max Adleman"
51,"Ron Rivest",2002,"Ron Rivest"
52,"Ronald L. Rivest",2002,"Ronald L. Rivest"
53,"Alan C. Kay",2003,"Alan C. Kay"
54,"Robert E. Kahn",2004,"Robert E. Kahn"
55,"Vint Cerf",2004,"Vint Cerf"
56,"Vinton G. Cerf",2004,"Vinton G. Cerf"
57,"Peter Naur",2005,"Peter Naur"
58,"Fran Allen",2006,"Fran Allen"
59,"Frances E. Allen",2006,"Frances E. Allen"
60,"E. Allen Emerson",2007,"E. Allen Emerson"
61,"Edmund M. Clarke",2007,"Edmund M. Clarke"
62,"Jospeh Sifakis",2007,"Jospeh Sifakis"
63,"Barbara Liskov",2008,"Barbara Liskov"
64,"Charles P. Thacker",2009,"Charles P. Thacker"
65,"Chuck Thacker",2009,"Chuck Thacker"
66,"Leslie G. Valiant",2010,"Leslie G. Valiant"
67,"Judea Pearl",2011,"Judea Pearl"
68,"Shafi Goldwasser",2012,"Shafi Goldwasser"
69,"Silvio Micali",2012,"Silvio Micali"
70,"Leslie Lamport",2013,"Leslie Lamport"
71,"Michael Stonebraker",2014,"Michael Stonebraker"
72,"Mike Stonebraker",2014,"Mike Stonebraker"
73,"Martin E. Hellman",2015,"Martin E. Hellman"
74,"Whitfield Diffie",2015,"Whitfield Diffie"
75,"Tim Berners-Lee",2016,"Tim Berners-Lee"
76,"David A. Patterson",2017,"David A. Patterson"
77,"John L. Hennessy",2017,"John L. Hennessy"
78,"Geoffrey E. Hinton",2018,"Geoffrey E. Hinton"
79,"Yann LeCun",2018,"Yann LeCun"
80,"Yoshua Bengio",2018,"Yoshua Bengio"
81,"Pat Hanrahan",2019,"Pat Hanrahan"
82,"Alfred V. Aho",2020,"Alfred V. Aho"
83,"Jeffrey D. Ullman",2020,"Jeffrey D. Ullman"
84,"Jack J. Dongarra",2021,"Jack J. Dongarra"
85,"Bob Metcalfe",2022,"Bob Metcalfe"
86,"Robert M. Metcalfe",2022,"Robert M. Metcalfe"
87,"Robert Melancton Metcalfe",2022,"Robert Melancton Metcalfe"
88,"Robert Metcalfe",2022,"Robert Metcalfe"
89,"Avi Wigderson",2023,"Avi Wigderson"
